RECUPERATE_DATE,DOSE_DAYS_SUM,RECUPERATE_DATE_1,temp_diff,ilsahap_mj_m2,ilsohap_hr
20130507,646,20130507,14.8,20.1,10.9
20130508,633,20130508,13.5,22.89,11.7
20130509,420,20130509,8.3,10.55,4
20130510,323,20130510,5.7,3.54,0
20130511,211,20130511,13.8,22.71,11.2
20130512,35,20130512,6.1,12.43,5.2
20130513,669,20130513,9.1,20.7,10.4
20130514,289,20130514,8.3,15.56,4.4
20130515,947,20130515,8.8,21.21,11.2
20130516,540,20130516,13,25.49,13.2
20130518,233,20130518,8.6,9.95,0.6
20130520,715,20130520,6.4,8.68,4.3
20130521,639,20130521,14.4,25.13,12.8
20130522,801,20130522,12,14.8,5.3
20130523,875,20130523,14.8,22.85,11.5
20130524,586,20130524,11.8,20.78,10.5
20130525,269,20130525,13.6,20.6,10.1
20130527,465,20130527,4.9,2.89,0
20130528,1018,20130528,3.3,2.11,0
20130529,609,20130529,3.2,2.35,0
20130530,763,20130530,10.7,23.53,11.7
20130531,721,20130531,13.9,21.92,11.1
20130601,373,20130601,10.5,20.67,9.3
20130603,645,20130603,8.3,21.29,10.9
20130604,799,20130604,10.9,20.25,9.6
20130605,891,20130605,11.3,21.11,10.6
20130607,471,20130607,10.4,21.77,11.8
20130608,165,20130608,10.2,15.11,6.6
20130610,640,20130610,10.6,24.93,12.8
20130611,641,20130611,6.2,7.09,0
20130612,345,20130612,2.9,4.41,0
20130613,1008,20130613,8.7,15.42,4.5
20130614,777,20130614,8.8,16.69,7.8
20130615,258,20130615,7.8,21.07,10.6
20130617,572,20130617,5.9,7.97,1.1
20130618,621,20130618,2.6,2.15,0
20130619,446,20130619,9,16.34,6.8
20130620,833,20130620,10.2,18.28,7.6
20130621,522,20130621,8.9,15.49,5.2
20130622,265,20130622,6.9,12.8,4.4
20130624,522,20130624,9.8,16.37,6.7
20130625,799,20130625,8.8,13.06,3.9
20130626,815,20130626,8.6,18.09,9.2
20130627,402,20130627,11.4,18.06,7.5
20130628,522,20130628,9.1,19.12,10.1
20130629,99,20130629,10.8,18.62,8.9
20130701,695,20130701,7.4,16.01,5.9
20130702,658,20130702,6.4,2.54,0
20130703,478,20130703,10.2,23.67,11.8
20130704,612,20130704,4.5,3.1,0
20130705,334,20130705,8.1,18.66,7.2
20130706,204,20130706,9,19.19,8.7
20130708,730,20130708,4,1.59,0
20130709,938,20130709,2.7,3.74,0
20130710,710,20130710,1.5,2.5,0
20130711,363,20130711,1.3,1.24,0
20130712,380,20130712,1.1,1.2,0
20130713,266,20130713,3.4,3.09,0
20130715,390,20130715,5.5,8.38,1.8
20130716,531,20130716,3.6,4.44,0.3
20130717,446,20130717,2.2,3.98,0
20130718,222,20130718,3.9,3.73,1.8
20130719,516,20130719,7.2,13.11,6.8
20130720,170,20130720,5,10.78,4.2
20130722,663,20130722,5.3,5.22,0.9
20130723,1152,20130723,1.7,1.23,0
20130724,472,20130724,4.4,9.64,5.6
20130725,713,20130725,7.3,18.68,9.5
20130726,347,20130726,8,20.64,10
20130727,70,20130727,8.1,16.04,6.8
20130729,635,20130729,5.2,11.91,5.3
20130730,385,20130730,5.9,12.18,5.2
20130731,857,20130731,4.3,13.31,5.9
20130801,543,20130801,7.6,12.73,6
20130802,794,20130802,4.1,5.49,0.9
20130803,286,20130803,5.9,16.52,8.9
20130805,551,20130805,3.7,10.13,4.5
20130806,730,20130806,4.6,4.71,2.8
20130807,471,20130807,7.1,11.01,1.3
20130808,628,20130808,5.5,9.72,5
20130809,725,20130809,2.9,4.98,0.1
20130810,167,20130810,3.6,6.17,2.6
20130812,624,20130812,5.5,17.21,10.7
20130813,917,20130813,6.3,18.12,11.5
20130814,541,20130814,5.8,14.52,9.9
20130816,774,20130816,5.6,13.2,7.2
20130817,79,20130817,4.5,15,6.9
20130819,832,20130819,6.6,19.44,9.7
20130820,947,20130820,9.3,18.37,10.6
20130821,967,20130821,9.7,18.53,11.6
20130822,412,20130822,6,13.83,8.8
20130823,434,20130823,5,7.05,1
20130824,58,20130824,9.6,20.97,10.9
20130826,676,20130826,8.8,19.53,12.1
20130827,626,20130827,6.8,18.9,11.5
20130828,522,20130828,8.1,17.96,9.7
20130829,763,20130829,2.2,2.21,0
20130830,800,20130830,6,16.96,10.7
20130831,205,20130831,6.8,12.58,6
20130902,776,20130902,9.6,17.95,10.8
20130903,651,20130903,10.4,22.07,12.1
20130904,527,20130904,11.1,20.16,12.1
20130905,905,20130905,6.2,9.42,1.2
20130906,619,20130906,4.1,5.83,0
20130907,371,20130907,9,15.69,8.9
20130908,18,20130908,9.5,18.1,10.6
20130909,887,20130909,6.7,9.75,2.7
20130910,521,20130910,6.1,5.23,0.2
20130911,465,20130911,1.8,1.52,0
20130912,724,20130912,6,7.29,0.5
20130913,698,20130913,4.3,3.02,0.2
20130914,537,20130914,3.8,6.14,2.4
20130916,734,20130916,11.8,20.04,11.8
20130917,739,20130917,12.3,16.73,9.6
20130921,185,20130921,7.9,11.15,6
20130923,690,20130923,10.4,15.72,10
20130924,701,20130924,3.9,1.44,0
20130925,1052,20130925,8.9,16.81,9.5
20130926,729,20130926,9.8,18.54,11.3
20130927,1048,20130927,13.1,16.2,10.8
20130928,387,20130928,4.7,3.67,0
20130929,91,20130929,5,3.7,0
20130930,608,20130930,7.5,11.47,5.6
20131001,945,20131001,10,13.26,6.1
20131002,635,20131002,7.8,12.39,7.1
20131003,7,20131003,10.3,17.12,11.2
20131004,857,20131004,14.4,16.82,11
20131005,127,20131005,15.5,17.44,10.9
20131007,792,20131007,7.1,7.38,1.4
20131008,1085,20131008,3.8,2.66,0
20131010,486,20131010,10.5,10.99,7
20131011,680,20131011,6.6,13.86,9.8
20131012,143,20131012,10.5,15.26,10.8
20131014,723,20131014,11.1,12.93,10.1
20131015,585,20131015,9.7,1.3,0
20131016,606,20131016,10.7,15.21,10.5
20131017,393,20131017,12.1,13.66,10.3
20131018,448,20131018,12.1,14.04,10
20131019,181,20131019,9.7,9.78,5.6
20131020,21,20131020,11.2,12.57,8.5
20131021,539,20131021,10.2,13.13,9.1
20131022,1105,20131022,10.4,13.8,9.8
20131023,769,20131023,9.9,13.2,9.5
20131024,504,20131024,10.7,11.63,9.2
20131025,399,20131025,9.2,13.46,9.9
20131026,351,20131026,11.4,12.91,9.8
20131028,772,20131028,10,8.18,5.7
20131029,868,20131029,7,5.64,2
20131030,678,20131030,9.8,11.54,8.6
20131031,599,20131031,13.3,11.74,9.6
20131101,443,20131101,12.1,10.16,8.1
20131102,342,20131102,6.3,1.94,0
20131104,660,20131104,8.4,9.32,7.7
20131105,711,20131105,11,10.82,9.2
20131106,588,20131106,6.9,2.83,0
20131107,462,20131107,8.3,11.87,9.4
20131108,560,20131108,10.5,10.39,8.4
20131109,288,20131109,6.3,3.63,0.4
20131111,770,20131111,8.9,11.63,9.7
20131112,532,20131112,9.6,11.29,9.7
20131113,938,20131113,12.3,10.7,8.9
20131114,803,20131114,6.8,4.3,0.9
20131115,327,20131115,6.6,5.88,3.5
20131116,273,20131116,9.6,8.24,5.6
20131117,45,20131117,5.4,5.59,5.8
20131118,620,20131118,5.7,8.62,8.4
20131119,779,20131119,5.5,6.68,7.3
20131120,478,20131120,7.8,10.5,9.3
20131121,688,20131121,8.7,10.22,9.3
20131122,523,20131122,11.2,7.88,7.6
